country,year,morts
Sierra Leone,1900,1061498.4916658574
United Kingdom,1901,1061253.4674199645
South Africa,1902,1061105.3992246166
South Africa,1903,1060598.96114621
Uzbekistan,1904,1060413.9068565634
Nauru,1905,1060217.9945937458
Uruguay,1906,1060144.55257682
Vanuatu,1907,1060062.1642392213
Chad,1908,1059950.611014655
Egypt,1909,1059843.8945236544
India,1910,1059806.1316733223
Finland,1911,1059652.6178030355
Cambodia,1912,1059209.0680165158
Costa Rica,1913,1059199.2809248285
France,1914,1059143.6723606912
Grenada,1915,1059124.7629305136
Liechtenstein,1916,1058922.2646142014
Azerbaijan,1917,1058840.624065646
Senegal,1918,1058665.283338753
El Salvador,1919,1058647.1830583147
Liberia,1920,1058603.9523701065
Myanmar (Burma),1921,1058563.4053336803
Palau,1922,1058544.8234718426
Dominica,1923,1058342.3829517076
Papua New Guinea,1924,1058291.926555424
United States,1925,1057935.07471463
Zambia,1926,1057909.000319208
Syria,1927,1057529.4733004647
Myanmar (Burma),1928,1057394.7968441595
United Arab Emirates,1929,1057321.6695138975
Benin,1930,1056894.5433869546
Tonga,1931,1056613.670781701
Ghana,1932,1056545.9095992425
India,1933,1056528.9111546504
Germany,1934,1056039.140499547
Qatar,1935,1055987.1320656205
Taiwan,1936,1055832.081932061
Syria,1937,1055779.8706564107
Ecuador,1938,1055240.8960385828
Vietnam,1939,1055140.1848647946
Trinidad and Tobago,1940,1054997.967241909
Mongolia,1941,1054988.588798093
Singapore,1942,1054877.486531399
Australia,1943,1054820.4795147262
El Salvador,1944,1054754.4184355794
Chile,1945,1054490.5839505326
Costa Rica,1946,1054407.416682061
Sri Lanka,1947,1054111.8772618556
Central African Republic,1948,1054068.9984129355
New Zealand,1949,1053691.0600795292
Cambodia,1950,1053647.6667618584
Canada,1951,1053441.1125248922
Indonesia,1952,1053232.3962468428
Maldives,1953,1053080.9227393954
Finland,1954,1052846.9504269944
United States,1955,1052781.104435572
Kosovo,1956,1052652.1121461636
Barbados,1957,1052628.907598907
Saudi Arabia,1958,1052425.2710037064
Eswatini,1959,1052048.607098883
Madagascar,1960,1051916.130203501
United Kingdom,1961,1051722.4403785844
Bolivia,1962,1051714.4715707288
Spain,1963,1051545.9676077776
Comoros,1964,1051501.2568085983
Denmark,1965,1051384.3872311602
Uzbekistan,1966,1051291.6072159205
Guinea-Bissau,1967,1051105.4990174563
Latvia,1968,1050818.4794193802
"Congo, Republic of the",1969,1050674.9630829822
Nigeria,1970,1050642.6849571806
Sri Lanka,1971,1050515.7655648936
Saint Vincent and the Grenadines,1972,1050474.7359282966
Tajikistan,1973,1050361.4866773372
Panama,1974,1050323.400113218
Romania,1975,1050202.449357229
Burundi,1976,1050050.7010482834
Vanuatu,1977,1049990.75799978
Taiwan,1978,1049496.834356348
Serbia,1979,1049263.3725014797
Lebanon,1980,1049079.0291386738
Bangladesh,1981,1048871.990218349
Madagascar,1982,1048852.289877265
Dominica,1983,1048849.683072795
Russia,1984,1048721.3050076105
"Korea, South",1985,1048616.480858547
Honduras,1986,1048601.657948481
Bahamas,1987,1048224.97861964
Canada,1988,1048100.1230572108
Bulgaria,1989,1048058.4074461128
Niger,1990,1047784.0279691898
Iraq,1991,1047764.6001876376
Mauritius,1992,1047709.8057699376
Seychelles,1993,1047641.2641785216
Philippines,1994,1047606.3224076089
Guyana,1995,1047539.0569853892
Suriname,1996,1047474.3291534458
Qatar,1997,1047456.0475539104
Namibia,1998,1047067.2662937152
Central African Republic,1999,1046889.304306592
Saint Kitts and Nevis,2000,1046843.1223684454
Antigua and Barbuda,2001,1046684.1977342851
Gambia,2002,1046649.4814796456
Singapore,2003,1046640.1753654385
Uzbekistan,2004,1046633.9918310726
Benin,2005,1046596.266461389
Qatar,2006,1046538.9520117418
Estonia,2007,1046439.238601594
Panama,2008,1046356.9636260216
Cameroon,2009,1046225.5858277988
"Korea, North",2010,1046218.973874383
Ecuador,2011,1046198.960992732
Grenada,2012,1045916.2313521196
Mexico,2013,1045706.296008246
Benin,2014,1045471.842722015
Libya,2015,1045387.8933472376
Serbia,2016,1045380.9942528944
Iraq,2017,1045279.2027635896
Cameroon,2018,1045190.0498877648
Netherlands,2019,1044959.4943889125
Kazakhstan,2020,1044892.1071561312
Equatorial Guinea,2021,1044846.436882173
Poland,2022,1044844.2597950236
Benin,2023,1044804.7556836974
Solomon Islands,1760,1044583.7061523136
Vietnam,1761,1044539.7880315928
Mozambique,1762,1044520.0354595904
Portugal,1763,1044345.948368062
Djibouti,1764,1044216.2135128798
Croatia,1765,1044076.4429076108
Barbados,1766,1044000.8009015592
Somalia,1767,1043950.7955292938
Jamaica,1768,1043659.2567832512
Sao Tome and Principe,1769,1043559.0413863326
Palau,1770,1043466.1001660938
Rwanda,1771,1043167.759443686
Finland,1772,1043059.1978939744
Palau,1773,1042858.6975053695
Peru,1774,1042858.2340532464
France,1775,1042600.0933839588
Togo,1776,1042571.5213493328
Yemen,1777,1042567.722788648
Bhutan,1778,1042468.5430595144
Liberia,1779,1042437.8194515378
Bangladesh,1780,1042322.2701698736
Laos,1781,1042301.2485119728
South Africa,1782,1042245.6572031358
Bahrain,1783,1041781.0506027924
Malaysia,1784,1041589.2835303036
Trinidad and Tobago,1785,1041557.735953614
Lebanon,1786,1041267.107396122
Denmark,1787,1041254.055553154
Uruguay,1788,1041220.8537322416
Jordan,1789,1041096.0391485292
Portugal,1790,1040995.7291870612
Bahamas,1791,1040696.3831864308
Guyana,1792,1040445.537221488
Vietnam,1793,1040340.280807842
North Macedonia,1794,1040316.9414214644
United States,1795,1040094.3865985085
Cabo Verde,1796,1040059.361009146
Iraq,1797,1039963.0146304932
Tunisia,1798,1039943.3351830526
Botswana,1799,1039842.6631008632
"Micronesia, Federated States of",1800,1039617.375977765
France,1801,1039527.0128109758
Iceland,1802,1039362.3525419268
Guyana,1803,1039209.3611507432
South Africa,1804,1039160.785748694
Netherlands,1805,1039089.0694720236
Guyana,1806,1038998.9106852332
Saint Vincent and the Grenadines,1807,1038975.6113743496
Brunei,1808,1038812.6043738758
Namibia,1809,1038769.4391924762
Belarus,1810,1038764.4428920024
Denmark,1811,1038713.0295337812
Marshall Islands,1812,1038578.3393713068
Somalia,1813,1038547.0223906784
Canada,1814,1038215.6384327672
Bahamas,1815,1038145.6175451516
Philippines,1816,1038142.9139211152
Peru,1817,1038083.3970834208
Peru,1818,1038034.4839344724
Denmark,1819,1037975.1118498174
Mauritius,1820,1037958.9265579818
Greece,1821,1037939.6789543392
North Macedonia,1822,1037858.396780895
Bolivia,1823,1037812.1369835216
Ethiopia,1824,1037753.7593416716
Burkina Faso,1825,1037623.3972189652
Lebanon,1826,1037555.4784340909
Honduras,1827,1037386.1862620424
Solomon Islands,1828,1037344.6594159062
Dominica,1829,1037294.4228213908
Togo,1830,1037293.5578121572
Spain,1831,1037249.6442167214
Djibouti,1832,1037200.8988680572
Angola,1833,1037194.5760544108
Lesotho,1834,1037179.692549536
Mali,1835,1037133.8240328355
Oman,1836,1037004.065836224
Saudi Arabia,1837,1036970.2483841984
North Macedonia,1838,1036953.6504147752
Taiwan,1839,1036944.3512747972
Ireland,1840,1036788.7501101376
Qatar,1841,1036768.9702417277
Tuvalu,1842,1036675.090750772
Poland,1843,1036576.711748648
"Korea, South",1844,1036343.7034615756
Bulgaria,1845,1036292.799405803
South Sudan,1846,1036255.2747721898
Laos,1847,1036207.573469092
Guinea-Bissau,1848,1036145.8332574442
Uruguay,1849,1036127.226440131
Morocco,1850,1036122.5559173228
Slovenia,1851,1036118.5927640038
Serbia,1852,1036101.7179428064
Togo,1853,1036029.8754729652
Ecuador,1854,1036026.0997922918
Belgium,1855,1035986.9756506032
Tajikistan,1856,1035919.242248135
Slovakia,1857,1035887.5450462612
Greece,1858,1035791.0061110298
Cuba,1859,1035785.5212106846
Mexico,1860,1035760.7886438528
Taiwan,1861,1035513.9196067814
Guatemala,1862,1035266.3466454812
Chile,1863,1035191.3830585874
Brunei,1864,1035063.8977528008
Lebanon,1865,1035037.2727923152
Central African Republic,1866,1035036.5920713186
Botswana,1867,1034862.308320783
Ukraine,1868,1034835.8097201864
Switzerland,1869,1034799.3734297286
Saint Kitts and Nevis,1870,1034576.929054664
Guinea,1871,1034572.4665202658
Australia,1872,1034564.5119104662
Lesotho,1873,1034334.8364824642
Armenia,1874,1034208.3403252794
Egypt,1875,1034186.1832471992
Nauru,1876,1033945.1475606024
Moldova,1877,1033812.5668495072
Philippines,1878,1033767.79609084
Singapore,1879,1033754.0419827752
Albania,1880,1033682.5870241016
"Korea, South",1881,1033674.5793323404
Sri Lanka,1882,1033673.587760847
Kuwait,1883,1033618.0283215002
Lesotho,1884,1033595.4645249269
Syria,1885,1033593.8233215216
Dominican Republic,1886,1033591.2283420134
San Marino,1887,1033551.315836234
Uruguay,1888,1033501.7134356644
Mauritius,1889,1033425.8295281328
Uzbekistan,1890,1033343.256484556
Guyana,1891,1033314.20627142
Qatar,1892,1033279.4079222676
Sri Lanka,1893,1033213.303813031
Bahamas,1894,1033198.6356351044
Belgium,1895,1032919.8851106912
Jamaica,1896,1032879.046390564
Laos,1897,1032846.0857643912
Angola,1898,1032807.5573422742
Dominican Republic,1899,1032783.2560466916
Portugal,1900,1032750.1685301438
Kuwait,1901,1032678.8153324696
East Timor (Timor-Leste),1902,1032624.8666646776
Guyana,1903,1032621.6524772864
Grenada,1904,1032508.0412265812
Angola,1905,1032501.8468795742
Morocco,1906,1032427.924267906
Zambia,1907,1032417.1138108888
Philippines,1908,1032328.4026468252
Niger,1909,1032300.2413805514
Turkmenistan,1910,1032278.2100942654
Liberia,1911,1032252.7470048848
Lithuania,1912,1032154.4904217896
"Korea, South",1913,1032089.2105522312
Ethiopia,1914,1032033.3017546376
Mozambique,1915,1032025.9942865062
Malawi,1916,1031813.5012651262
Fiji,1917,1031769.1103854284
Azerbaijan,1918,1031559.0664540956
Ireland,1919,1031507.804918572
Spain,1920,1031481.3591577304
Azerbaijan,1921,1031356.915300857
Fiji,1922,1031335.953159132
Maldives,1923,1031321.31687329
Jordan,1924,1031278.06121607
Ecuador,1925,1031259.1056487336
Liberia,1926,1031239.5691993344
Bolivia,1927,1031182.4314627966
Oman,1928,1031152.3757659652
Belize,1929,1030997.8263321932
Austria,1930,1030948.5038228736
Eswatini,1931,1030778.924398948
Panama,1932,1030728.2199562602
Ethiopia,1933,1030728.149377944
Zimbabwe,1934,1030664.8677804224
Cameroon,1935,1030401.6153121992
Tonga,1936,1030389.1710277882
Libya,1937,1030311.4099556288
Rwanda,1938,1030303.7470743906
Iceland,1939,1030078.4112732456
Belarus,1940,1030045.1176681236
Central African Republic,1941,1029984.4960459413
Kosovo,1942,1029949.1296873868
Greece,1943,1029942.4982413208
Morocco,1944,1029878.874856014
Saint Lucia,1945,1029723.1190332955
Syria,1946,1029538.4733487624
United Arab Emirates,1947,1029516.5742157513
India,1948,1029515.628378336
Dominican Republic,1949,1029105.75403019
Saint Vincent and the Grenadines,1950,1029096.0536500338
Tanzania,1951,1028991.937924327
Libya,1952,1028934.6262673708
Saudi Arabia,1953,1028870.4736313658
Mauritius,1954,1028849.3249391812
Albania,1955,1028788.3597007758
Somalia,1956,1028788.1653588584
El Salvador,1957,1028738.7160777262
Eswatini,1958,1028595.4087280534
Romania,1959,1028516.9306238953
Dominican Republic,1960,1028501.7072911174
Benin,1961,1028416.6650173884
Liechtenstein,1962,1028285.243571902
Greece,1963,1028172.255643115
Hungary,1964,1028039.10319274
Senegal,1965,1027944.1366688624
Tanzania,1966,1027791.928806733
Bahrain,1967,1027771.8416764276
Laos,1968,1027750.4249857188
Egypt,1969,1027723.5943360464
Suriname,1970,1027669.306222102
Seychelles,1971,1027633.0781708332
Myanmar (Burma),1972,1027617.1490693262
China,1973,1027601.3843573106
Latvia,1974,1027587.7819481156
Nicaragua,1975,1027472.655876068
Bulgaria,1976,1027451.0365435162
North Macedonia,1977,1027421.513839992
Finland,1978,1027410.7720365176
Saudi Arabia,1979,1027405.9230335306
Kenya,1980,1027341.013047194
Austria,1981,1027319.9431521116
Eritrea,1982,1027295.4044876316
Grenada,1983,1027116.3378813972
Malaysia,1984,1026987.8969951656
Eritrea,1985,1026938.6939768022
Sweden,1986,1026919.5964877356
Italy,1987,1026772.1299026952
Zambia,1988,1026705.4201573046
Belize,1989,1026657.7916737156
France,1990,1026638.6586140152
Botswana,1991,1026637.279730608
Senegal,1992,1026621.8885189828
Guinea-Bissau,1993,1026578.9762981116
Laos,1994,1026421.173759902
Guinea,1995,1026413.266084087
Kyrgyzstan,1996,1026274.695864981
Zimbabwe,1997,1026221.925669712
Paraguay,1998,1026179.8926897564
Lebanon,1999,1026173.041307438
Brunei,2000,1026142.0708356224
Solomon Islands,2001,1026007.3863822204
Germany,2002,1025993.780157806
Malawi,2003,1025958.0340863296
Bangladesh,2004,1025659.3106839636
Trinidad and Tobago,2005,1025532.5779843004
Mali,2006,1025455.5653156788
Angola,2007,1025445.2862791022
Cabo Verde,2008,1025329.5779226394
Comoros,2009,1025232.3739374356
Comoros,2010,1025203.7626581232
Singapore,2011,1025197.1832043816
Egypt,2012,1025182.8673377442
Cabo Verde,2013,1025012.6954629588
Croatia,2014,1024942.0334039908
Panama,2015,1024825.7556693524
Germany,2016,1024823.4087831504
El Salvador,2017,1024822.2897967364
Algeria,2018,1024820.9325170362
Honduras,2019,1024799.7781425169
Mozambique,2020,1024753.2499665064
Ukraine,2021,1024681.5663839476
Serbia,2022,1024619.1992343544
"Korea, South",2023,1024532.2142179444
Guinea-Bissau,1760,1024507.0977529105
Eswatini,1761,1024476.241562226
Bahrain,1762,1024473.6829716724
Zimbabwe,1763,1024453.3387586155
Moldova,1764,1024451.8885724078
Botswana,1765,1024325.9833810376
Latvia,1766,1024316.0713036698
"Korea, South",1767,1024289.5012218078
Egypt,1768,1024279.6995998436
Sierra Leone,1769,1024221.7411671332
Montenegro,1770,1024153.9296850392
Lesotho,1771,1024121.5862071756
Zambia,1772,1024019.2695920372
Niger,1773,1024006.0536011984
Trinidad and Tobago,1774,1023942.2403726976
Malawi,1775,1023921.5139781542
Fiji,1776,1023870.1619903726
Slovenia,1777,1023827.7539714396
Poland,1778,1023786.1745121962
Marshall Islands,1779,1023740.365583774
Nicaragua,1780,1023722.3370884806
Samoa,1781,1023669.5968474152
Solomon Islands,1782,1023509.429162714
Turkmenistan,1783,1023262.4363057772
Kuwait,1784,1023209.4584296877
"Korea, North",1785,1023155.5838596582
Italy,1786,1023137.7876088176
Gabon,1787,1023118.1908303084
Guyana,1788,1023105.8389191356
Mexico,1789,1022942.1339335884
Dominica,1790,1022899.4415702044
Libya,1791,1022861.6661831862
Marshall Islands,1792,1022858.3226417332
Cambodia,1793,1022830.5192206996
Bulgaria,1794,1022678.1433765222
Germany,1795,1022559.0666269456
Singapore,1796,1022516.3876787432
Laos,1797,1022423.3657190404
United Arab Emirates,1798,1022390.7634911909
Mauritania,1799,1022331.1212185982
Madagascar,1800,1022314.5445568638
Cameroon,1801,1022203.3062757564
Singapore,1802,1022190.9145579096
Ethiopia,1803,1022171.0010145672
Morocco,1804,1022169.3966780716
Netherlands,1805,1022149.372362528
Honduras,1806,1022123.9581803957
Portugal,1807,1022091.3232044472
United Kingdom,1808,1022015.3364024464
Italy,1809,1021903.1579400148
New Zealand,1810,1021897.5633059018
Sri Lanka,1811,1021890.0179562876
Guinea,1812,1021885.6117628728
Bangladesh,1813,1021738.1868687834
Vanuatu,1814,1021699.9754684184
Antigua and Barbuda,1815,1021696.629199501
Mali,1816,1021656.3362644898
"Korea, North",1817,1021644.1144062928
Ecuador,1818,1021642.6569566586
Luxembourg,1819,1021622.1662667986
United States,1820,1021564.0504764091
Central African Republic,1821,1021538.9434157292
Bolivia,1822,1021505.9908822472
Chad,1823,1021360.0567313972
Saudi Arabia,1824,1021357.8338419872
Burundi,1825,1021175.2996014352
Uzbekistan,1826,1021171.210592688
Costa Rica,1827,1021084.4507446538
Palau,1828,1020954.2610950524
Nicaragua,1829,1020857.150025414
Uzbekistan,1830,1020778.3176529488
Colombia,1831,1020766.6822347884
Afghanistan,1832,1020738.2291614896
Panama,1833,1020630.4847091434
Algeria,1834,1020557.4268565142
Qatar,1835,1020538.2554203544
Lebanon,1836,1020537.0618514532
Myanmar (Burma),1837,1020418.5657429488
Bangladesh,1838,1020322.1487343792
Poland,1839,1020293.00724295
Italy,1840,1020260.2252381892
Saint Lucia,1841,1020241.6609976534
Cyprus,1842,1020092.5807910266
Gambia,1843,1020056.3754323144
Sudan,1844,1020037.6701256634
Barbados,1845,1019951.112389589
Venezuela,1846,1019836.0462673842
Honduras,1847,1019781.531775221
Liechtenstein,1848,1019764.9273145414
Haiti,1849,1019682.6896649182
Andorra,1850,1019570.4075765498
Bhutan,1851,1019558.4690827612
Fiji,1852,1019205.374611978
Burkina Faso,1853,1019145.939491087
Belarus,1854,1018992.4365322676
Colombia,1855,1018963.5739929456
Syria,1856,1018894.138735294
Philippines,1857,1018862.4485149368
Eswatini,1858,1018692.1063509518
Iran,1859,1018675.7721186036
Central African Republic,1860,1018628.4623455872
Luxembourg,1861,1018582.427515539
Cyprus,1862,1018480.4320739242
Iceland,1863,1018450.949689037
Guinea-Bissau,1864,1018429.0125276812
Burundi,1865,1018367.12834723
Palau,1866,1018360.088758992
Honduras,1867,1018250.2758626058
Belize,1868,1018237.031337191
Georgia,1869,1018152.7592195648
Vietnam,1870,1017984.1532906628
Malaysia,1871,1017983.6593434496
Lebanon,1872,1017838.1724161636
Tonga,1873,1017810.4729614012
Hungary,1874,1017772.4335907974
Saint Kitts and Nevis,1875,1017766.9275792828
United States,1876,1017753.2149722218
"Korea, South",1877,1017726.8859996068
Belize,1878,1017683.1203025708
Slovenia,1879,1017585.3666133214
San Marino,1880,1017566.9085994542
Chad,1881,1017563.3133890164
Yemen,1882,1017513.8185193136
Eritrea,1883,1017444.074665364
Papua New Guinea,1884,1017424.0831312004
Greece,1885,1017394.2293007144
France,1886,1017369.142600531
Canada,1887,1017365.1658609128
Gabon,1888,1017325.0784487448
Cambodia,1889,1017320.0983557872
Saint Vincent and the Grenadines,1890,1017309.9764803431
Chad,1891,1017309.5015838352
Morocco,1892,1017282.6676767252
Bolivia,1893,1017206.3004851384
Czech Republic,1894,1017169.5421479568
Rwanda,1895,1017067.5009544124
Guinea,1896,1017037.6779549932
Saint Kitts and Nevis,1897,1016990.9958460472
Somalia,1898,1016912.7634114882
Laos,1899,1016797.6595178308
Liberia,1900,1016751.470830018
Nicaragua,1901,1016733.8332349984
Comoros,1902,1016700.6238187886
Kuwait,1903,1016632.9202193269
Jordan,1904,1016616.9704331557
Solomon Islands,1905,1016614.407483104
Uganda,1906,1016609.691339782
Ghana,1907,1016596.0515416616
El Salvador,1908,1016435.1211686918
Hungary,1909,1016393.2664755476
China,1910,1016316.7418355248
Cuba,1911,1016273.0029486418
Gambia,1912,1016250.3013106711
Benin,1913,1016239.3549470162
Luxembourg,1914,1016164.5158362966
Kenya,1915,1016067.6553360608
Benin,1916,1016056.6426022938
Uzbekistan,1917,1016045.9515408516
Slovakia,1918,1015952.4796621735
Pakistan,1919,1015892.00664225
Sierra Leone,1920,1015881.706123525
Slovakia,1921,1015870.766377986
Saint Vincent and the Grenadines,1922,1015762.1286951996
Dominican Republic,1923,1015635.9400171494
Spain,1924,1015617.2722488028
Grenada,1925,1015563.184792326
Georgia,1926,1015469.1116881428
Guinea-Bissau,1927,1015444.0608750734
Vatican City (Holy See),1928,1015427.7606864406
Iraq,1929,1015412.4654643316
Slovenia,1930,1015410.7082891598
Slovakia,1931,1015403.3714330292
Malaysia,1932,1015399.0236298334
Bolivia,1933,1015373.4380660144
Cabo Verde,1934,1015371.5593767784
Oman,1935,1015370.1988037088
Dominican Republic,1936,1015367.2543495742
India,1937,1015310.2770982
Panama,1938,1015224.2952515804
Nicaragua,1939,1015209.7100917582
Tunisia,1940,1015197.418534778
Saudi Arabia,1941,1015159.990005945
Qatar,1942,1015040.9366035424
Indonesia,1943,1015013.6689042269
Iran,1944,1014981.0917954226
Kenya,1945,1014951.4043692072
Togo,1946,1014860.5839907156
Armenia,1947,1014834.1264755302
Slovakia,1948,1014758.867215989
Nigeria,1949,1014757.016369445
Bulgaria,1950,1014744.7935147724
Kyrgyzstan,1951,1014739.142758314
Mongolia,1952,1014718.4740567836
Lebanon,1953,1014627.3236328549
Mongolia,1954,1014502.9121782652
India,1955,1014444.677707482
Libya,1956,1014411.2816579656
Kuwait,1957,1014389.3470920247
Russia,1958,1014380.929890459
Colombia,1959,1014243.4200343452
Iceland,1960,1014202.9107879448
Paraguay,1961,1014091.7658525086
Liberia,1962,1014072.633863494
Bolivia,1963,1014008.5982442328
Cuba,1964,1014005.795854474
New Zealand,1965,1013996.218857707
Malta,1966,1013878.1398051608
Tajikistan,1967,1013831.9257055608
Sao Tome and Principe,1968,1013745.5750150608
Equatorial Guinea,1969,1013740.860497458
Peru,1970,1013739.170217976
Taiwan,1971,1013689.0980699828
United Arab Emirates,1972,1013525.893944442
Bahrain,1973,1013504.9541774568
"Korea, North",1974,1013490.8006094042
"Korea, North",1975,1013479.6884410284
Peru,1976,1013327.1238592614
Mexico,1977,1013063.0545059596
Croatia,1978,1013054.4778024192
Marshall Islands,1979,1013026.527188502
Uzbekistan,1980,1013013.942246498
Chad,1981,1012981.1391730296
Dominica,1982,1012933.672697967
Iraq,1983,1012925.258307885
Fiji,1984,1012868.031910286
Dominica,1985,1012835.9858595956
Japan,1986,1012833.7830388003
United Kingdom,1987,1012752.3660906162
Finland,1988,1012667.3476804624
Namibia,1989,1012593.5515743856
Namibia,1990,1012566.8142408708
Qatar,1991,1012541.2656798316
Bangladesh,1992,1012441.7315436088
Honduras,1993,1012289.6764408082
Dominica,1994,1012285.8659696626
Liberia,1995,1012275.5472917474
Bulgaria,1996,1012189.7762539152
Mexico,1997,1012132.5383318268
Antigua and Barbuda,1998,1012061.8502824176
Iceland,1999,1012038.3345261344
Venezuela,2000,1011978.2152343212
Monaco,2001,1011947.8217104332
Austria,2002,1011858.0722529708
"Micronesia, Federated States of",2003,1011715.3382924808
Rwanda,2004,1011667.9008580254
Georgia,2005,1011655.229406814
Lithuania,2006,1011552.4728205462
Japan,2007,1011503.281250828
Sri Lanka,2008,1011443.0696932492
Mongolia,2009,1011423.4888983464
Netherlands,2010,1011420.0286813452
Latvia,2011,1011350.7724123936
Gabon,2012,1011341.0610096728
Rwanda,2013,1011271.4607157662
Romania,2014,1011194.3504128552
Central African Republic,2015,1011161.8830564762
Tuvalu,2016,1011045.6194196976
Somalia,2017,1010995.2690952268
South Sudan,2018,1010987.6639596698
Indonesia,2019,1010927.0052944624
Belarus,2020,1010773.150359493
South Sudan,2021,1010699.8896821132
Australia,2022,1010690.1725760176
Samoa,2023,1010649.6209642056
Denmark,1760,1010495.3904282858
Algeria,1761,1010448.2348026602
